id_canton,parroquia
32,TIMBARA
32,ZUMBI
32,SAN CARLOS DE LAS MINAS
33,ZUMBA
33,CHITO
33,EL CHORRO
33,EL PORVENIR DEL CARMEN
33,LA CHONTA
33,PALANDA
33,PUCAPAMBA
33,SAN FRANCISCO DEL VERGEL
33,VALLADOLID
33,SAN ANDRÉS
34,GUAYZIMI
34,ZURMI
34,NUEVO PARAÍSO
35,28 DE MAYO (SAN JOSÉ DE YACUAMBI)
35,LA PAZ
35,TUTUPALI
36,YANTZAZA (YANZATZA)
36,CHICAÑA
36,EL PANGUI
36,LOS ENCUENTROS
37,EL PANGUI
37,EL GUISME
37,PACHICUTZA
37,TUNDAYME
38,ZUMBI
38,PAQUISHA
38,TRIUNFO-DORADO
38,PANGUINTZA
39,PALANDA
39,EL PORVENIR DEL CARMEN
39,SAN FRANCISCO DEL VERGEL
39,VALLADOLID
39,LA CANELA
40,PAQUISHA
40,BELLAVISTA
40,NUEVO QUITO
